"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"129","16","0.3","10","binary_crossentropy","softmax","Adadelta","0.001","0.5070000290870667"
"130","16","0.3","10","binary_crossentropy","softmax","Adadelta","0.01","0.5040000081062317"
"131","16","0.3","10","binary_crossentropy","softmax","Adadelta","0.1","0.8090000152587891"
"132","16","0.3","10","binary_crossentropy","softmax","Adam","0.0001","0.8840000033378601"
"133","16","0.3","10","binary_crossentropy","softmax","Adam","0.001","0.8610000014305115"
"134","16","0.3","10","binary_crossentropy","softmax","Adam","0.01","0.7639999985694885"
"135","16","0.3","10","binary_crossentropy","softmax","Adam","0.1","0.5"
"136","16","0.3","10","binary_crossentropy","softmax","Adamax","0.0001","0.7889999747276306"
"137","16","0.3","10","binary_crossentropy","softmax","Adamax","0.001","0.8730000257492065"
"138","16","0.3","10","binary_crossentropy","softmax","Adamax","0.01","0.8519999980926514"
"139","16","0.3","10","binary_crossentropy","softmax","Adamax","0.1","0.6190000176429749"
"140","16","0.3","10","binary_crossentropy","softmax","Nadam","0.0001","0.890999972820282"
"141","16","0.3","10","binary_crossentropy","softmax","Nadam","0.001","0.8519999980926514"
"142","16","0.3","10","binary_crossentropy","softmax","Nadam","0.01","0.8479999899864197"
"143","16","0.3","10","binary_crossentropy","softmax","Nadam","0.1","0.49000000953674316"
"144","16","0.3","10","binary_crossentropy","sigmoid","Adadelta","0.0001","0.5189999938011169"
"145","16","0.3","10","binary_crossentropy","sigmoid","Adadelta","0.001","0.546999990940094"
"146","16","0.3","10","binary_crossentropy","sigmoid","Adadelta","0.01","0.5040000081062317"
"147","16","0.3","10","binary_crossentropy","sigmoid","Adadelta","0.1","0.8159999847412109"
"148","16","0.3","10","binary_crossentropy","sigmoid","Adam","0.0001","0.8899999856948853"
"149","16","0.3","10","binary_crossentropy","sigmoid","Adam","0.001","0.8489999771118164"
"150","16","0.3","10","binary_crossentropy","sigmoid","Adam","0.01","0.8220000267028809"
"151","16","0.3","10","binary_crossentropy","sigmoid","Adam","0.1","0.5"
"152","16","0.3","10","binary_crossentropy","sigmoid","Adamax","0.0001","0.7720000147819519"
"153","16","0.3","10","binary_crossentropy","sigmoid","Adamax","0.001","0.8809999823570251"
"154","16","0.3","10","binary_crossentropy","sigmoid","Adamax","0.01","0.8529999852180481"
"155","16","0.3","10","binary_crossentropy","sigmoid","Adamax","0.1","0.7080000042915344"
"156","16","0.3","10","binary_crossentropy","sigmoid","Nadam","0.0001","0.8880000114440918"
"157","16","0.3","10","binary_crossentropy","sigmoid","Nadam","0.001","0.8529999852180481"
"158","16","0.3","10","binary_crossentropy","sigmoid","Nadam","0.01","0.8389999866485596"
"159","16","0.3","10","binary_crossentropy","sigmoid","Nadam","0.1","0.5"
"160","16","0.3","10","categorical_crossentropy","softmax","Adadelta","0.0001","0.5019999742507935"
"161","16","0.3","10","categorical_crossentropy","softmax","Adadelta","0.001","0.5400000214576721"
"162","16","0.3","10","categorical_crossentropy","softmax","Adadelta","0.01","0.5440000295639038"
"163","16","0.3","10","categorical_crossentropy","softmax","Adadelta","0.1","0.8519999980926514"
"164","16","0.3","10","categorical_crossentropy","softmax","Adam","0.0001","0.8920000195503235"
"165","16","0.3","10","categorical_crossentropy","softmax","Adam","0.001","0.8619999885559082"
"166","16","0.3","10","categorical_crossentropy","softmax","Adam","0.01","0.824999988079071"
"167","16","0.3","10","categorical_crossentropy","softmax","Adam","0.1","0.5"
"168","16","0.3","10","categorical_crossentropy","softmax","Adamax","0.0001","0.7749999761581421"
"169","16","0.3","10","categorical_crossentropy","softmax","Adamax","0.001","0.8669999837875366"
"170","16","0.3","10","categorical_crossentropy","softmax","Adamax","0.01","0.847000002861023"
"171","16","0.3","10","categorical_crossentropy","softmax","Adamax","0.1","0.6679999828338623"
"172","16","0.3","10","categorical_crossentropy","softmax","Nadam","0.0001","0.8930000066757202"
"173","16","0.3","10","categorical_crossentropy","softmax","Nadam","0.001","0.8550000190734863"
"174","16","0.3","10","categorical_crossentropy","softmax","Nadam","0.01","0.828000009059906"
"175","16","0.3","10","categorical_crossentropy","softmax","Nadam","0.1","0.49399998784065247"
"176","16","0.3","10","categorical_crossentropy","sigmoid","Adadelta","0.0001","0.49799999594688416"
"177","16","0.3","10","categorical_crossentropy","sigmoid","Adadelta","0.001","0.5090000033378601"
"178","16","0.3","10","categorical_crossentropy","sigmoid","Adadelta","0.01","0.5709999799728394"
"179","16","0.3","10","categorical_crossentropy","sigmoid","Adadelta","0.1","0.8640000224113464"
"180","16","0.3","10","categorical_crossentropy","sigmoid","Adam","0.0001","0.8880000114440918"
"181","16","0.3","10","categorical_crossentropy","sigmoid","Adam","0.001","0.859000027179718"
"182","16","0.3","10","categorical_crossentropy","sigmoid","Adam","0.01","0.7450000047683716"
"183","16","0.3","10","categorical_crossentropy","sigmoid","Adam","0.1","0.5009999871253967"
"184","16","0.3","10","categorical_crossentropy","sigmoid","Adamax","0.0001","0.781000018119812"
"185","16","0.3","10","categorical_crossentropy","sigmoid","Adamax","0.001","0.875"
"186","16","0.3","10","categorical_crossentropy","sigmoid","Adamax","0.01","0.8560000061988831"
"187","16","0.3","10","categorical_crossentropy","sigmoid","Adamax","0.1","0.7099999785423279"
"188","16","0.3","10","categorical_crossentropy","sigmoid","Nadam","0.0001","0.8889999985694885"
"189","16","0.3","10","categorical_crossentropy","sigmoid","Nadam","0.001","0.859000027179718"
"190","16","0.3","10","categorical_crossentropy","sigmoid","Nadam","0.01","0.8289999961853027"
"191","16","0.3","10","categorical_crossentropy","sigmoid","Nadam","0.1","0.4909999966621399"
"192","16","0.3","15","binary_crossentropy","softmax","Adadelta","0.0001","0.5590000152587891"
"193","16","0.3","15","binary_crossentropy","softmax","Adadelta","0.001","0.5400000214576721"
"194","16","0.3","15","binary_crossentropy","softmax","Adadelta","0.01","0.5109999775886536"
"195","16","0.3","15","binary_crossentropy","softmax","Adadelta","0.1","0.8659999966621399"
"196","16","0.3","15","binary_crossentropy","softmax","Adam","0.0001","0.8820000290870667"
"197","16","0.3","15","binary_crossentropy","softmax","Adam","0.001","0.8690000176429749"
"198","16","0.3","15","binary_crossentropy","softmax","Adam","0.01","0.7620000243186951"
"199","16","0.3","15","binary_crossentropy","softmax","Adam","0.1","0.5059999823570251"
"200","16","0.3","15","binary_crossentropy","softmax","Adamax","0.0001","0.8019999861717224"
"201","16","0.3","15","binary_crossentropy","softmax","Adamax","0.001","0.8659999966621399"
"202","16","0.3","15","binary_crossentropy","softmax","Adamax","0.01","0.8489999771118164"
"203","16","0.3","15","binary_crossentropy","softmax","Adamax","0.1","0.6759999990463257"
"204","16","0.3","15","binary_crossentropy","softmax","Nadam","0.0001","0.8859999775886536"
"205","16","0.3","15","binary_crossentropy","softmax","Nadam","0.001","0.8410000205039978"
"206","16","0.3","15","binary_crossentropy","softmax","Nadam","0.01","0.8069999814033508"
"207","16","0.3","15","binary_crossentropy","softmax","Nadam","0.1","0.5040000081062317"
"208","16","0.3","15","binary_crossentropy","sigmoid","Adadelta","0.0001","0.47200000286102295"
"209","16","0.3","15","binary_crossentropy","sigmoid","Adadelta","0.001","0.5249999761581421"
"210","16","0.3","15","binary_crossentropy","sigmoid","Adadelta","0.01","0.5059999823570251"
"211","16","0.3","15","binary_crossentropy","sigmoid","Adadelta","0.1","0.8640000224113464"
"212","16","0.3","15","binary_crossentropy","sigmoid","Adam","0.0001","0.8830000162124634"
"213","16","0.3","15","binary_crossentropy","sigmoid","Adam","0.001","0.8619999885559082"
